STT,dropoff_longitude,dropoff_latitude,DOCensus_Tract
0,-73.97464,40.78912,17500
1,-73.881,40.72311,67100
2,-74.00991,40.73525,7500
3,-74.00051,40.72993,6500
4,-73.98377,40.76525,13700
5,-73.94349,40.72185,59100
6,-73.97769,40.73551,6000
7,-73.98314,40.73493,4800
8,-73.95691,40.7667,12600
9,-73.99005,40.76716,13500
10,-73.97409,40.76258,11202
11,-73.96206,40.7671,11800
12,-73.99671,40.73729,6300
13,-73.96214,40.80541,19900
14,-73.98688,40.74267,5600
15,-73.94533,40.67817,31300
16,-73.98413,40.76557,13900
17,-73.9105,40.7763,11300
18,-73.95239,40.77251,13600
19,-73.93358,40.79841,19200
20,-74.00587,40.7453,8900
21,-73.98629,40.74006,6800
22,-73.95668,40.7447,100
23,-73.98035,40.78261,16300
24,-73.97636,40.76469,11201
25,-73.9578,40.77944,15001
26,-73.94314,40.82189,25900
27,-74.00384,40.7296,6700
28,-73.97767,40.75879,10400
29,-73.98251,40.77224,14900
30,-73.98588,40.73541,5000
31,-73.97125,40.74811,8800
32,-73.98243,40.77512,15300
33,-73.98214,40.74992,8200
34,-74.00412,40.7307,6700
35,-74.01425,40.7089,1300
36,-73.97867,40.76218,10400
37,-73.97468,40.77794,14300
38,-73.97153,40.7952,18300
39,-73.95632,40.76787,12600
40,-73.995,40.74238,8700
41,-73.97138,40.79939,18700
42,-74.00609,40.74376,8300
43,-74.01408,40.70468,1300
44,-73.98323,40.77589,15300
45,-74.01129,40.70505,900
46,-74.00557,40.73936,7900
47,-74.00142,40.7564,9900
48,-73.9791,40.77674,15700
49,-73.93574,40.81773,21400
50,-73.98404,40.76085,12500
51,-74.00718,40.75154,9900
52,-73.97249,40.76464,11401
53,-73.99467,40.7239,4300
54,-73.97441,40.75382,9200
55,-74.01464,40.70984,1300
56,-73.9993,40.73348,6300
57,-73.99163,40.7488,10100
58,-73.98604,40.76638,13900
59,-73.94484,40.77499,14402
60,-73.97827,40.75113,8000
61,-73.95446,40.74424,700
62,-73.9936,40.75194,10100
63,-73.97126,40.76067,10000
64,-73.97809,40.76556,13700
65,-73.96134,40.77609,14200
66,-73.97441,40.6431,49400
67,-73.97182,40.75367,9000
68,-73.99187,40.73826,5200
69,-73.96822,40.76064,11203
70,-73.97344,40.7927,17900
71,-74.00617,40.7527,9900
72,-73.98957,40.74549,5800
73,-74.01386,40.71482,31703
74,-74.00531,40.74018,7900
75,-73.97839,40.75304,9400
76,-74.00605,40.74368,8300
77,-73.93847,40.85046,26500
78,-73.98416,40.71735,1402
79,-73.99211,40.71621,1600
80,-73.98132,40.73991,6600
81,-74.00301,40.73349,7300
82,-73.98753,40.7335,5000
83,-73.99125,40.75589,11500
84,-73.97549,40.75397,9200
85,-73.97179,40.78724,17300
86,-73.97839,40.74552,7200
87,-73.95879,40.77506,14000
88,-73.97019,40.76295,11202
89,-73.97438,40.75006,8800
90,-73.97853,40.7618,10400
91,-73.98752,40.757,11900
92,-73.96744,40.76895,12200
93,-73.97806,40.76291,10400
94,-73.98729,40.76449,13300
95,-73.97878,40.79175,17500
96,-73.96286,40.77582,14200
97,-73.99544,40.75933,11500
98,-73.9737,40.74823,8800
99,-73.99556,40.75379,11100
100,0,0,
101,-73.98741,40.72239,3001
102,-73.98688,40.72975,4000
103,-73.99171,40.74998,10100
104,-73.98193,40.76841,14500
105,-74.00907,40.7139,2100
106,-73.97901,40.72499,2602
107,-73.99532,40.72176,4300
108,-73.98984,40.75715,11300
109,-73.97607,40.74466,7000
110,-73.96463,40.80199,19500
111,-73.99855,40.71733,4100
112,-73.98674,40.74916,7600
113,-73.80587,40.65165,71600
114,-73.99241,40.73741,5200
115,-73.97198,40.75359,9000
116,-73.86522,40.7707,33100
117,-74.00314,40.74928,9900
118,-73.98719,40.75509,11300
119,-73.98579,40.75208,8400
120,-73.97678,40.75133,8000
121,-73.96625,40.76476,12000
122,-73.7827,40.64869,71600
123,-73.97907,40.76436,13700
124,-73.94544,40.82821,23300
125,-73.95243,40.78131,14802
126,-73.99208,40.74421,9100
127,-74.00351,40.73314,7300
128,-73.98908,40.74792,7600
129,-73.9567,40.77659,14000
130,-73.95403,40.77074,13400
131,-73.98553,40.73522,4800
132,-73.95649,40.78131,15002
133,-73.87098,40.7741,33100
134,-73.9834,40.75613,11900
135,-73.95739,40.78285,15002
136,-73.96499,40.71428,55100
137,-73.96702,40.75695,9800
138,-73.99012,40.75162,10900
139,-73.99546,40.72625,5502
140,-73.98934,40.75162,10900
141,-74.0027,40.75528,9900
142,-74.01022,40.71946,3900
143,-73.95597,40.78191,15002
144,-73.97482,40.78786,17300
145,-74.00506,40.72851,3700
146,-73.97928,40.75285,9400
147,-73.9988,40.73457,6300
148,-73.99918,40.72797,6500
149,-73.97749,40.76447,13700
150,-73.92453,40.79199,24000
151,0,0,
152,-73.96685,40.75986,10800
153,-73.94427,40.84244,25500
154,-73.98862,40.73698,5000
155,-73.97132,40.79552,18300
156,-73.98112,40.75184,8200
157,-73.96613,40.77075,13000
158,-73.96286,40.76501,11800
159,-73.96819,40.76064,11203
160,-73.94823,40.74833,1900
161,-73.97552,40.75588,9400
162,-73.99778,40.73182,6300
163,-73.99395,40.72071,4100
164,-73.98956,40.73349,4200
165,-73.99725,40.74713,9300
166,-73.98602,40.75837,11900
167,-73.94191,40.79873,18200
168,-73.99101,40.7192,1800
169,-73.97828,40.7486,8000
170,-73.88932,40.75489,28700
171,-73.97585,40.76037,10200
172,-73.97027,40.7625,11202
173,-74.00783,40.74037,7900
174,-73.95639,40.71119,52300
175,-73.99235,40.72661,5502
176,-73.98382,40.74335,7200
177,-73.98183,40.76308,13100
178,-74.00335,40.74857,9300
179,-73.95894,40.76404,11800
180,-73.98117,40.75338,8400
181,-73.95616,40.77976,14802
182,-73.98858,40.73653,5000
183,-73.9678,40.76449,11402
184,-73.95027,40.77544,13600
185,-73.96887,40.75435,9800
186,-73.98179,40.76418,13700
187,-73.95651,40.77984,14801
188,-73.93952,40.74568,17100
189,-73.95542,40.78262,14802
190,-73.98557,40.72676,3200
191,-73.92206,40.66032,88400
192,-73.99737,40.72251,4300
193,-73.96826,40.76266,11402
194,-73.98018,40.77541,15300
195,-73.98968,40.72025,1800
196,-73.95259,40.78156,14802
197,-73.98231,40.77441,15300
198,-73.97465,40.77808,16100
199,-73.83536,40.76266,86900
200,-73.99246,40.7642,12900
201,-74.00415,40.75095,9900
202,-73.95296,40.7666,12400
203,-73.97981,40.75283,8200
204,-73.95075,40.77111,13200
205,-73.99061,40.75126,10900
206,-73.99629,40.754,11100
207,-73.95532,40.7434,700
208,-73.97878,40.75785,9600
209,-73.98419,40.74584,7400
210,-74.00272,40.76068,11700
211,-74.01111,40.70842,700
212,-73.95662,40.78147,15002
213,-73.9681,40.76548,12200
214,-73.99186,40.75943,12100
215,-73.99878,40.76053,11700
216,-73.96582,40.79549,18500
217,-73.98215,40.77186,14900
218,-74.00775,40.73221,6900
219,-73.99216,40.74175,5800
220,-73.98422,40.73942,6800
221,-73.96562,40.70731,54700
222,-73.96318,40.76667,12000
223,-73.99989,40.73462,7100
224,-73.98964,40.70179,2100
225,-73.98262,40.77372,14900
226,-73.97046,40.75234,9000
227,-73.97024,40.75204,9000
228,-73.99505,40.73996,8700
229,-73.9663,40.79068,18100
230,-74.00092,40.75813,9900
231,-73.95299,40.76827,13200
232,-73.91552,40.69032,41500
233,-73.95848,40.81509,21100
234,-73.98053,40.76176,13100
235,-73.9825,40.6788,11900
236,-74.00233,40.72963,6700
237,-73.99534,40.7395,8100
238,-73.9878,40.71287,600
239,-73.955,40.7692,13400
240,-74.01003,40.72097,3900
241,-73.98188,40.76536,13700
242,-73.99188,40.75939,12100
243,-73.9997,40.73116,6500
244,-73.97356,40.75058,8800
245,-73.94124,40.81279,21200
246,-73.97695,40.79032,17500
247,-73.97894,40.75039,8200
248,-73.99474,40.75036,10100
249,-73.96767,40.76293,11402
250,-73.95321,40.77267,13800
251,-73.99511,40.74386,9100
252,-73.99596,40.7608,12900
253,-74.0135,40.71542,31703
254,-73.9511,40.7069,52700
255,-74.00628,40.71496,3300
256,-73.96546,40.77147,13000
257,-73.97954,40.75307,9400
258,-73.9581,40.71054,52300
259,-73.99825,40.74576,9300
260,-74.00091,40.74197,8300
261,-73.98509,40.72404,3200
262,-73.87288,40.77428,33100
263,-74.01366,40.71485,31703
264,-73.97632,40.76362,11201
265,-73.95826,40.77063,13400
266,-74.00186,40.75574,9900
267,-73.99105,40.76755,13500
268,-73.98227,40.72095,2201
269,-74.0016,40.7401,8100
270,-73.97315,40.79017,17300
271,-73.98164,40.76344,13100
272,-73.99169,40.75624,11500
273,-74.01123,40.70904,1300
274,-73.95422,40.77854,14801
275,-73.95021,40.78397,15601
276,-73.92469,40.70112,42900
277,-73.9794,40.74386,7000
278,-73.95485,40.82021,22301
279,-73.99088,40.76515,13300
280,-73.96981,40.76329,11401
281,-73.9605,40.76984,12600
282,-73.81811,40.7121,22001
283,-73.88438,40.65723,110600
284,-73.98589,40.7638,13300
285,-73.94765,40.67511,31500
286,-73.98669,40.7195,1402
287,-73.98883,40.77413,15100
288,-73.96658,40.77232,13000
