STT,dropoff_longitude,dropoff_latitude,DOcity,DOdistrict
0,-73.97464,40.78912,New York,Upper West Side
1,-73.881,40.72311,Middle Village,Middle Village
2,-74.00991,40.73525,New York,West Village
3,-74.00051,40.72993,New York,Greenwich Village
4,-73.98377,40.76525,New York,Clinton
5,-73.94349,40.72185,Brooklyn,Greenpoint
6,-73.97769,40.73551,New York,Stuyvesant Town
7,-73.98314,40.73493,New York,Gramercy Park
8,-73.95691,40.7667,New York,Upper East Side
9,-73.99005,40.76716,New York,Clinton
10,-73.97409,40.76258,New York,Midtown Center
11,-73.96206,40.7671,New York,Upper East Side
12,-73.99671,40.73729,New York,Greenwich Village
13,-73.96214,40.80541,New York,Morningside Heights
14,-73.98688,40.74267,New York,Midtown South Central
15,-73.94533,40.67817,Brooklyn,Bedford-Stuyvesant
16,-73.98413,40.76557,New York,Clinton
17,-73.9105,40.7763,Astoria,Ditmars Steinway
18,-73.95239,40.77251,New York,Yorkville
19,-73.93358,40.79841,New York,East Harlem
20,-74.00587,40.7453,New York,Chelsea
21,-73.98629,40.74006,New York,Gramercy Park
22,-73.95668,40.7447,Long Island City,Hunters Point
23,-73.98035,40.78261,New York,Upper West Side
24,-73.97636,40.76469,New York,Midtown Center
25,-73.9578,40.77944,New York,Upper East Side
26,-73.94314,40.82189,New York,Harlem
27,-74.00384,40.7296,New York,West Village
28,-73.97767,40.75879,New York,Midtown Center
29,-73.98251,40.77224,New York,Lincoln Square
30,-73.98588,40.73541,New York,Gramercy Park
31,-73.97125,40.74811,New York,Murray Hill
32,-73.98243,40.77512,New York,Lincoln Square
33,-73.98214,40.74992,New York,Midtown South Central
34,-74.00412,40.7307,New York,West Village
35,-74.01425,40.7089,New York,Financial District
36,-73.97867,40.76218,New York,Midtown Center
37,-73.97468,40.77794,New York,Upper West Side
38,-73.97153,40.7952,New York,Upper West Side
39,-73.95632,40.76787,New York,Upper East Side
40,-73.995,40.74238,New York,Chelsea
41,-73.97138,40.79939,New York,Upper West Side
42,-74.00609,40.74376,New York,Chelsea
43,-74.01408,40.70468,New York,Financial District
44,-73.98323,40.77589,New York,Lincoln Square
45,-74.01129,40.70505,New York,Financial District
46,-74.00557,40.73936,New York,West Village
47,-74.00142,40.7564,New York,Hells Kitchen
48,-73.9791,40.77674,New York,Lincoln Square
49,-73.93574,40.81773,New York,Harlem
50,-73.98404,40.76085,New York,Theater District-Times Square
51,-74.00718,40.75154,New York,Chelsea
52,-73.97249,40.76464,New York,Upper East Side
53,-73.99467,40.7239,New York,Nolita
54,-73.97441,40.75382,New York,Midtown Center
55,-74.01464,40.70984,New York,Financial District
56,-73.9993,40.73348,New York,Greenwich Village
57,-73.99163,40.7488,New York,Chelsea
58,-73.98604,40.76638,New York,Clinton
59,-73.94484,40.77499,New York,Yorkville
60,-73.97827,40.75113,New York,Murray Hill
61,-73.95446,40.74424,Long Island City,Hunters Point
62,-73.9936,40.75194,New York,Chelsea
63,-73.97126,40.76067,New York,Midtown Center
64,-73.97809,40.76556,New York,Clinton
65,-73.96134,40.77609,New York,Upper East Side
66,-73.97441,40.6431,Brooklyn,Kensington & Parkville
67,-73.97182,40.75367,New York,Turtle Bay
68,-73.99187,40.73826,New York,Flatiron District
69,-73.96822,40.76064,New York,Midtown Center
70,-73.97344,40.7927,New York,Upper West Side
71,-74.00617,40.7527,New York,Chelsea
72,-73.98957,40.74549,New York,Midtown South Central
73,-74.01386,40.71482,New York,Battery Park City
74,-74.00531,40.74018,New York,West Village
75,-73.97839,40.75304,New York,Midtown Center
76,-74.00605,40.74368,New York,Chelsea
77,-73.93847,40.85046,New York,Washington Heights South
78,-73.98416,40.71735,New York,Lower East Side
79,-73.99211,40.71621,New York,Chinatown
80,-73.98132,40.73991,New York,Kips Bay
81,-74.00301,40.73349,New York,West Village
