STT,pickup_longitude,pickup_latitude,PUcity,PUdistrict
0,-73.96509,40.80666,New York,Morningside Heights
1,-73.87082,40.734,Elmhurst,Elmhurst
2,-74.00553,40.74807,New York,Chelsea
3,-73.99741,40.7364,New York,Greenwich Village
4,-73.95564,40.77636,New York,Yorkville
5,-73.98386,40.72565,New York,East Village
6,-73.99084,40.75307,New York,Garment District
7,-73.9879,40.75207,New York,Garment District
8,-73.95144,40.78285,New York,Upper East Side
9,-73.99735,40.75613,New York,Hells Kitchen
10,-73.95459,40.77911,New York,Upper East Side
11,-73.98796,40.74618,New York,Midtown South Central
12,-73.99252,40.74896,New York,Chelsea
13,-73.95513,40.77712,New York,Yorkville
14,-73.99353,40.74599,New York,Chelsea
15,-73.99228,40.74184,New York,Flatiron District
16,-73.9874,40.75055,New York,Garment District
17,-73.9566,40.78099,New York,Upper East Side
18,-73.99804,40.75624,New York,Hells Kitchen
19,-73.94846,40.77784,New York,Yorkville
20,-73.99567,40.73886,New York,Flatiron District
21,-73.99282,40.74802,New York,Chelsea
22,-73.94802,40.75184,Long Island City,Long Island City
23,-73.96241,40.76703,New York,Upper East Side
24,-73.9907,40.75734,New York,Garment District
25,-73.94631,40.77327,New York,Yorkville
26,-73.98342,40.75643,New York,Theater District-Times Square
27,-73.99696,40.72135,New York,Nolita
28,-73.97262,40.78094,New York,Upper West Side
29,-73.9766,40.75378,New York,Midtown Center
30,-73.96388,40.80818,New York,Morningside Heights
31,-73.98899,40.76019,New York,Clinton
32,-73.97623,40.78892,New York,Upper West Side
33,-73.99088,40.72996,New York,Greenwich Village
34,-73.9829,40.73927,New York,Kips Bay
35,-73.99182,40.7263,New York,East Village
36,-73.98229,40.74723,New York,Midtown South Central
37,-73.97806,40.76456,New York,Clinton
38,-73.95563,40.76838,New York,Upper East Side
39,-73.98248,40.7315,New York,Gramercy Park
40,-73.99485,40.73206,New York,Greenwich Village
41,-74.00251,40.75518,New York,Chelsea
42,-73.99523,40.74406,New York,Chelsea
43,-74.00912,40.71091,New York,Financial District
44,-73.98743,40.72481,New York,East Village
45,-73.99019,40.73707,New York,Flatiron District
46,-73.98946,40.74172,New York,Midtown South Central
47,-73.9762,40.68241,Brooklyn,Prospect Heights
48,-73.9869,40.7505,New York,Koreatown
49,-73.97285,40.79057,New York,Upper West Side
50,-73.9755,40.76547,New York,Midtown Center
51,-73.9393,40.71459,Brooklyn,East Williamsburg
52,-73.9521,40.78642,New York,East Harlem
53,-73.99148,40.72705,New York,East Village
54,-73.95559,40.78815,New York,Central Park
55,-73.97759,40.78968,New York,Upper West Side
56,-74.00661,40.73676,New York,West Village
57,-73.97822,40.74827,New York,Murray Hill
58,-73.78798,40.64168,Jamaica,
59,-73.9552,40.77928,New York,Upper East Side
60,-73.98467,40.74479,New York,Midtown South Central
61,-73.97545,40.75778,New York,Midtown Center
62,-73.96832,40.75782,New York,Turtle Bay
63,-73.95756,40.76574,New York,Upper East Side
64,-73.98551,40.73856,New York,Gramercy Park
65,-73.9844,40.7701,New York,Lincoln Square
66,-74.00695,40.73311,New York,West Village
67,-73.95458,40.76563,New York,Upper East Side
68,-73.97269,40.74413,New York,Tudor City
69,-73.98112,40.77899,New York,Upper West Side
70,-73.97918,40.76225,New York,Clinton
71,-74.00621,40.73402,New York,West Village
72,-73.97913,40.74447,New York,Kips Bay
73,-74.00912,40.70429,New York,Financial District
74,-73.99071,40.75523,New York,Garment District
75,-73.98553,40.74872,New York,Koreatown
76,-73.99126,40.7349,New York,Greenwich Village
77,-73.97952,40.76632,New York,Clinton
78,-73.97828,40.71561,New York,Lower East Side
79,-73.98559,40.72329,New York,East Village
