STT,pickup_longitude,pickup_latitude,PUCensus_Tract
0,-73.96509,40.80666,19900
1,-73.87082,40.734,68300
2,-74.00553,40.74807,9900
3,-73.99741,40.7364,6300
4,-73.95564,40.77636,13800
5,-73.98386,40.72565,3200
6,-73.99084,40.75307,10900
7,-73.9879,40.75207,10900
8,-73.95144,40.78285,15801
9,-73.99735,40.75613,11100
10,-73.95459,40.77911,14802
11,-73.98796,40.74618,7600
12,-73.99252,40.74896,10100
13,-73.95513,40.77712,13800
14,-73.99353,40.74599,9500
15,-73.99228,40.74184,5800
16,-73.9874,40.75055,10900
17,-73.9566,40.78099,14802
18,-73.99804,40.75624,9900
19,-73.94846,40.77784,14402
20,-73.99567,40.73886,5400
21,-73.99282,40.74802,9500
22,-73.94802,40.75184,1900
23,-73.96241,40.76703,11800
24,-73.9907,40.75734,11500
25,-73.94631,40.77327,13600
26,-73.98342,40.75643,11900
27,-73.99696,40.72135,4100
28,-73.97262,40.78094,16500
29,-73.9766,40.75378,9200
30,-73.96388,40.80818,20500
31,-73.98899,40.76019,12100
32,-73.97623,40.78892,17500
33,-73.99088,40.72996,5700
34,-73.9829,40.73927,6800
35,-73.99182,40.7263,3602
36,-73.98229,40.74723,7400
37,-73.97806,40.76456,13700
38,-73.95563,40.76838,12600
39,-73.98248,40.7315,4800
40,-73.99485,40.73206,5900
41,-74.00251,40.75518,9900
42,-73.99523,40.74406,9100
43,-74.00912,40.71091,1300
44,-73.98743,40.72481,3800
45,-73.99019,40.73707,5200
46,-73.98946,40.74172,5800
47,-73.9762,40.68241,12902
48,-73.9869,40.7505,8400
49,-73.97285,40.79057,17700
50,-73.9755,40.76547,14300
51,-73.9393,40.71459,48100
52,-73.9521,40.78642,15802
53,-73.99148,40.72705,3800
54,-73.95559,40.78815,16002
55,-73.97759,40.78968,17500
56,-74.00661,40.73676,7900
57,-73.97822,40.74827,8000
58,-73.78798,40.64168,71600
59,-73.9552,40.77928,14801
60,-73.98467,40.74479,7400
61,-73.97545,40.75778,10200
62,-73.96832,40.75782,9800
63,-73.95756,40.76574,11800
64,-73.98551,40.73856,6800
65,-73.9844,40.7701,14500
66,-74.00695,40.73311,7500
67,-73.95458,40.76563,12400
68,-73.97269,40.74413,8601
69,-73.98112,40.77899,15700
70,-73.97918,40.76225,13100
71,-74.00621,40.73402,7300
72,-73.97913,40.74447,7200
73,-74.00912,40.70429,700
74,-73.99071,40.75523,11300
75,-73.98553,40.74872,7600
76,-73.99126,40.7349,6100
77,-73.97952,40.76632,13700
78,-73.97828,40.71561,1001
79,-73.98559,40.72329,3002
80,-73.96402,40.75709,10800
81,-73.9964,40.74285,8700
82,-73.99739,40.72084,4100
83,-74.00851,40.7202,3300
84,-73.99327,40.75712,11500
85,-73.95374,40.78789,16002
86,-74.00598,40.73521,7300
87,-73.95991,40.77947,14200
88,-73.9804,40.74847,8200
89,-73.97948,40.75513,9400
90,-73.99139,40.75004,10100
91,-73.96609,40.76458,11402
92,-73.95711,40.77733,14000
93,-73.99709,40.75691,11100
94,-74.00009,40.73387,7100
95,-73.95627,40.77994,14802
96,-73.97197,40.79438,18300
