dropoff_longitude,dropoff_latitude,DOCensus_Tract
-73.89167023,40.67982101,114600
-74.00628662,40.74375153,8300
-73.99915314,40.74443817,8900
-73.97437286,40.76246643,11201
-73.98761749,40.71821976,1800
-73.92893219,40.70249939,42500
-73.98210144,40.75568008,9600
-73.97669983,40.74775696,8000
-73.9883194,40.74322128,5600
-73.78131866,40.66849136,29400
-73.9519577,40.76593018,12400
-73.97628021,40.74964142,8000
-73.99302673,40.76286316,12700
-73.98999023,40.73295593,6100
-74.00869751,40.7327919,7500
-73.96068573,40.77813339,14200
-73.9858017,40.74549866,7400
-73.95349884,40.77771378,14601
-73.99501038,40.73190689,5900
-74.00221252,40.72462845,4700
-73.97486115,40.75458145,9200
-73.95687103,40.77096939,13400
-73.98862457,40.71946716,1800
-73.97381592,40.74817657,8800
-73.98378754,40.75841141,12500
-73.99255371,40.72136307,3601
-73.98300934,40.76158142,13100
-73.99526215,40.74968719,10100
-73.99172211,40.72723007,5700
-73.99741364,40.74176407,8700
-73.98390961,40.72159195,3002
-73.98040009,40.75390625,9400
-73.99145508,40.74978638,10100
-73.93849182,40.79241943,18000
-74.00332642,40.73546219,7300
-73.95711517,40.80604172,20102
-73.99134827,40.75028229,10100
-73.99119568,40.75044632,10100
-73.97530365,40.75198746,9200
-73.96766663,40.79286194,18100
-73.98777771,40.748909,7600
-73.98628998,40.74451065,7400
-73.9801178,40.72379303,2601
-73.97686005,40.79026794,17500
0,0,
-73.86843109,40.8637619,33202
-73.98355103,40.75589371,11900
-74.00757599,40.7408905,7900
-73.97931671,40.78099823,16100
-73.97150421,40.79527283,18300
-73.97969055,40.75665665,9600
-73.99454498,40.75008774,10100
-73.78383636,40.76116562,146300
-73.93923187,40.67183685,33900
-73.99272919,40.75675201,11500
-73.9850769,40.76351166,13100
-73.95505524,40.77744675,14000
-73.98819733,40.70175171,2100
-73.98856354,40.7478447,7600
-73.9597168,40.77923584,14200
-74.00968933,40.72797012,3700
-74.00983429,40.71230698,2100
-73.97541809,40.76069641,10200
-73.98157501,40.76598358,13700
-73.95153809,40.671772,31702
-73.9837265,40.7379303,6400
-73.98258209,40.72745514,3400
-73.97720337,40.75843811,10200
0,0,
-73.93741608,40.81259537,21000
-73.97766113,40.72576523,2800
-74.00688934,40.70669174,700
-73.99804688,40.76055527,11700
-73.97840118,40.7628212,13700
-73.95785522,40.77371979,14000
-73.96034241,40.7789917,14200
-74.00714111,40.741436,7900
-73.9605484,40.64754868,51002
-73.9773941,40.78973389,17500
-73.97068024,40.78868484,17300
-73.97813416,40.75222778,8200
-73.97122192,40.75969696,10000
-73.98615265,40.76750946,13900
-73.97677612,40.7644577,11201
-73.98667145,40.76839066,13900
-73.9730835,40.78010941,14300
-74.00644684,40.73280334,6900
-73.98435974,40.7612114,12500
-73.94881439,40.81532669,21500
-73.99246979,40.71320343,800
-73.98538208,40.74152756,6800
-73.97451782,40.73661041,6200
-73.86160278,40.7682457,33100
-73.97542572,40.75629807,9400
-73.97574615,40.74511719,7800
-73.9547348,40.77238083,13400
-73.99173737,40.7263298,3602
-73.96152496,40.77603531,14200
-73.97557831,40.75245667,9200
-73.96522522,40.76911926,12000
-73.97579193,40.76287842,11201
-73.97118378,40.75811768,10000
-73.97357178,40.74359512,6200
-74.01467896,40.71122742,31703
-73.9997406,40.72695923,5501
-73.98684692,40.72167206,3001
-73.83117676,40.71422958,76902
-73.79292297,40.64447021,71600
-73.96504974,40.75946045,10800
-73.99533844,40.71369553,800
-73.98754883,40.76974106,14500
-73.80443573,40.70730972,23600
-73.99726868,40.71471786,2900
-73.98226166,40.76840591,14500
-73.95760345,40.76564789,11800
-73.98822021,40.72402954,3602
-73.9547348,40.76556015,12400
-73.99288177,40.76337814,12900
-73.9782486,40.75032425,8000
-73.98119354,40.73979187,6600
-74.00805664,40.74712372,9900
-73.95742798,40.76591492,12600
-73.98326874,40.75624847,11900
-73.98876953,40.73659515,5000
-73.99636841,40.76000977,12900
-74.01573944,40.70505142,1300
-74.00169373,40.75649261,9900
-73.9910202,40.74707413,9500
-73.98970795,40.75135422,10900
-73.91398621,40.68220901,37300
-73.98370361,40.76532364,13700
-73.97006226,40.76833344,14300
-73.95253754,40.76538467,12400
-73.86552429,40.76124191,36500
-73.97202301,40.75391769,9000
-73.97020721,40.75961685,10000
-73.97489166,40.74167252,6200
-73.96524048,40.8057251,19900
-73.94248962,40.7862587,16200
-73.96292877,40.71179962,54900
-73.99291992,40.72690582,5502
-73.99211121,40.734375,6100
-73.96787262,40.76272583,11402
-73.98784637,40.7491951,7600
-73.97866821,40.76732635,14300
-73.9479599,40.81694412,22102
0,0,
-73.98002625,40.772789,14900
-73.95900726,40.65658569,79601
-73.96539307,40.76883316,12000
-73.97653961,40.73957062,6200
-73.91841125,40.77083969,6900
-73.93413544,40.79546738,17800
-73.96099854,40.77407074,12800
-73.99118805,40.75035858,10100
-73.98968506,40.73958588,5200
-74.00006104,40.72856522,6500
-73.9780426,40.78899002,17500
-73.96794128,40.76002884,11203
-73.98561859,40.7787323,15900
-73.96723938,40.60522461,41402
-73.96544647,40.7958374,18900
-73.94146729,40.67694092,31100
0,0,
-73.98618317,40.740242,6800
