dropoff_longitude,dropoff_latitude,DOcity,DOborough
-73.99388123,40.73588181,New York,Greenwich Village
-73.95455933,40.78831482,New York,East Harlem
-73.99038696,40.76681137,New York,Clinton
-73.98869324,40.74872971,New York,Chelsea
-73.91912842,40.70446396,Brooklyn,Bushwick
-73.99979401,40.72348022,New York,Soho
-73.93675232,40.84892654,New York,Washington Heights South
-74.00310516,40.73991013,New York,West Village
-73.98941803,40.75326157,New York,Garment District
-73.99076843,40.75639343,New York,Garment District
-73.97665405,40.78550339,New York,Upper West Side
-73.97193909,40.79681778,New York,Upper West Side
-74.00827789,40.74769592,New York,Chelsea
-74.01223755,40.70327759,New York,Financial District
-74.00191498,40.7285347,New York,Greenwich Village
-73.9756012,40.75268936,New York,Midtown Center
-73.97646332,40.78075027,New York,Upper West Side
-73.99504852,40.73953247,New York,Flatiron District
-73.98394012,40.76173019,New York,Theater District-Times Square
-73.99462128,40.76939011,New York,Clinton
-73.94148254,40.70081329,Brooklyn,Bushwick
-73.97524261,40.76527023,New York,Midtown Center
-73.9878006,40.75460815,New York,Garment District
-74.00588226,40.73622131,New York,West Village
-73.97952271,40.75127029,New York,Midtown South Central
-73.9662323,40.7649498,New York,Upper East Side
-74.00254059,40.75598145,New York,Hells Kitchen
-73.96495819,40.75944901,New York,Turtle Bay
-73.97177124,40.74359131,New York,Tudor City
-73.95848846,40.73496628,Brooklyn,Greenpoint
-74.00959015,40.70547104,New York,Financial District
-73.95572662,40.90997314,Tenafly,
-73.96878052,40.7504425,New York,Turtle Bay
-73.96663666,40.75291824,New York,Turtle Bay
-73.97756958,40.76273346,New York,Midtown Center
-73.9450531,40.78277588,New York,Yorkville
-73.98928833,40.72927094,New York,East Village
-73.97618866,40.74577713,New York,Murray Hill
-73.95575714,40.73008347,Brooklyn,Greenpoint
-73.97134399,40.78704453,New York,Upper West Side
-73.95545959,40.78575897,New York,Upper East Side
-73.93599701,40.80389404,New York,East Harlem
-73.98116302,40.75043869,New York,Midtown South Central
-73.98201752,40.77628326,New York,Lincoln Square
-73.98963165,40.72596741,New York,East Village
-73.98110199,40.78173828,New York,Upper West Side
-73.9682312,40.76237106,New York,Upper East Side
-73.98914337,40.74196625,New York,Midtown South Central
-73.91689301,40.81798172,Bronx,Melrose South-Mott Haven North
-73.96424866,40.75896454,New York,Turtle Bay
-73.99404144,40.73588943,New York,Greenwich Village
-73.96407318,40.76506424,New York,Upper East Side
-73.99807739,40.75649643,New York,Hells Kitchen
-73.99147797,40.74946976,New York,Chelsea
-74.0118103,40.71360016,New York,Tribeca
-73.98932648,40.75278854,New York,Garment District
-74.0012207,40.71986771,New York,Chinatown
-74.00656128,40.73697662,New York,West Village
-73.97773743,40.7522316,New York,Midtown Center
-73.97110748,40.75571823,New York,Midtown Center
-73.99152374,40.72684097,New York,East Village
-73.98934937,40.77703094,New York,Lincoln Square
-73.94866943,40.79579163,New York,East Harlem
-73.98425293,40.76160812,New York,Theater District-Times Square
-74.00805664,40.70515442,New York,Financial District
-73.97370148,40.79769897,New York,Upper West Side
-73.98310852,40.77326202,New York,Lincoln Square
-73.96349335,40.76586151,New York,Upper East Side
-74.00083923,40.73590469,New York,West Village
-73.78900146,40.64165878,Jamaica,
-74.01005554,40.72057724,New York,Tribeca
-73.96403503,40.71312332,Brooklyn,Williamsburg
-73.95611572,40.78158569,New York,Upper East Side
-74.00691986,40.72745895,New York,Soho
-73.98809814,40.75656509,New York,Theater District-Times Square
-73.9078064,40.77685547,Astoria,Ditmars Steinway
-73.95297241,40.8200531,New York,Hamilton Heights
-73.958992,40.78108978,New York,Upper East Side
-74.00253296,40.71700668,New York,Chinatown
-73.96748352,40.78773499,New York,Upper West Side
-73.93122864,40.85475159,New York,Washington Heights North
-73.97655487,40.75566101,New York,Midtown Center
-73.99160004,40.74956131,New York,Chelsea
-73.99373627,40.73599243,New York,Greenwich Village
-73.97340393,40.78541946,New York,Upper West Side
-73.96246338,40.77309418,New York,Upper East Side
-73.94265747,40.84396744,New York,Washington Heights South
-73.95617676,40.77593994,New York,Upper East Side
-73.97821808,40.73745728,New York,Kips Bay
-73.98794556,40.72841644,New York,East Village
-73.94897461,40.78839493,New York,East Harlem
-74.01392365,40.71332932,New York,Financial District
-73.97471619,40.77817535,New York,Upper West Side
-73.98680878,40.75080109,New York,Koreatown
-73.99800873,40.75417328,New York,Hells Kitchen
-73.98368073,40.75954819,New York,Theater District-Times Square
-73.98934937,40.7417984,New York,Midtown South Central
-73.95139313,40.79097366,New York,East Harlem
-73.98456573,40.75870132,New York,Theater District-Times Square
-73.96253204,40.76075745,New York,Upper East Side
-73.94484711,40.77903748,New York,Yorkville
-73.95059967,40.79747772,New York,Harlem
-73.97012329,40.76305008,New York,Upper East Side
-73.98151398,40.74692535,New York,Midtown South Central
-74.00994873,40.72138214,New York,Tribeca
-73.97760773,40.77929688,New York,Upper West Side
-73.98709869,40.75077057,New York,Garment District
0,0,,
-73.95519257,40.76739883,New York,Upper East Side
-74.0043869,40.72984695,New York,West Village
-73.97767639,40.74570465,New York,Murray Hill
-73.97679138,40.73372269,New York,Stuyvesant Town
-73.997612,40.72434235,New York,Soho
-73.95991516,40.7754097,New York,Upper East Side
-73.98973083,40.7676239,New York,Clinton
-73.97927856,40.75281906,New York,Midtown South Central
-73.96479034,40.7554512,New York,Turtle Bay
-73.9765625,40.73958588,New York,Kips Bay
-73.9825058,40.74258804,New York,Kips Bay
-73.98710632,40.7566452,New York,Theater District-Times Square
-73.99468231,40.75041962,New York,Chelsea
-74.01169586,40.70312119,New York,Financial District
-73.99729919,40.68844986,Brooklyn,Cobble Hill
-73.98841858,40.75664139,New York,Theater District-Times Square
-73.97349548,40.75689316,New York,Midtown Center
-73.9786377,40.76236725,New York,Clinton
-73.86122131,40.76791763,Flushing,
0,0,,
-74.01691437,40.70449066,New York,Battery Park City
-73.95479584,40.69100189,Brooklyn,Bedford-Stuyvesant
-73.99765778,40.72148514,New York,Soho
-73.94661713,40.78063583,New York,Yorkville
-73.98547363,40.76343155,New York,Clinton
-73.98178101,40.77067184,New York,Lincoln Square
-73.97893524,40.76113892,New York,Midtown Center
-73.97006989,40.78574753,New York,Upper West Side
-74.01605225,40.71134949,New York,Battery Park City
-73.99971771,40.72207642,New York,Soho
-73.93890381,40.8048439,New York,East Harlem
-73.97348785,40.76100159,New York,Midtown Center
-73.94773865,40.7708931,New York,Yorkville
-74.00466919,40.75212097,New York,Chelsea
-73.97823334,40.75437546,New York,Midtown Center
-74.00210571,40.74037552,New York,Chelsea
-73.97953033,40.79049683,New York,Upper West Side
-73.9957962,40.764328,New York,Clinton
-73.98577881,40.76710129,New York,Clinton
-73.97422791,40.75127029,New York,Midtown Center
0,0,,
-73.98904419,40.74300003,New York,Midtown South Central
-73.99179077,40.73108292,New York,Greenwich Village
-73.99417114,40.746521,New York,Chelsea
-73.95792389,40.77798843,New York,Upper East Side
-73.9550705,40.78092194,New York,Upper East Side
-73.99044037,40.75147629,New York,Garment District
-73.9739151,40.7513237,New York,Turtle Bay
-73.94895935,40.77745056,New York,Yorkville
-73.89620209,40.83364868,Bronx,Crotona Park East
-73.97319794,40.76492691,New York,Central Park
-73.99452972,40.74349594,New York,Chelsea
-73.94087982,40.81163025,New York,Harlem
-73.94734955,40.68383026,Brooklyn,Bedford-Stuyvesant
-73.9913559,40.75025558,New York,Chelsea
-73.96864319,40.76902771,New York,Upper East Side
-73.99372864,40.74185562,New York,Chelsea
-73.98770142,40.72116852,New York,Lower East Side
-73.95313263,40.78875732,New York,East Harlem
-73.98029327,40.73677826,New York,Gramercy Park
-73.98397064,40.731884,New York,East Village
-73.97170258,40.75529099,New York,Midtown Center
-73.98220062,40.77545547,New York,Lincoln Square
-73.94965363,40.77793121,New York,Yorkville
-73.98792267,40.7595787,New York,Theater District-Times Square
-73.90240479,40.76758194,Astoria,Woodside
-73.87108612,40.77402878,Flushing,East Elmhurst
-73.98110199,40.74523163,New York,Kips Bay
-73.8365097,40.68693161,Ozone Park,Richmond Hill
-73.96494293,40.76522827,New York,Upper East Side
0,0,,
0,0,,
-73.95391846,40.7754097,New York,Yorkville
-73.9677887,40.79253006,New York,Upper West Side
-73.97901154,40.75086212,New York,Midtown South Central
-73.99372101,40.75563431,New York,Garment District
-73.94263458,40.68263245,Brooklyn,Bedford-Stuyvesant
-73.94657898,40.82814407,New York,Harlem
-73.92829895,40.73819351,Long Island City,Sunnyside
-73.94979095,40.78041077,New York,Yorkville
-73.97138214,40.7542038,New York,Turtle Bay
-73.98777771,40.73781586,New York,Gramercy Park
-73.99456787,40.7505188,New York,Chelsea
-73.97682953,40.7576561,New York,Midtown Center
-73.98101044,40.76494217,New York,Clinton
-73.96788025,40.79139709,New York,Upper West Side
-73.95057678,40.77741241,New York,Yorkville
-73.98981476,40.75716782,New York,Theater District-Times Square
-73.98835754,40.72275162,New York,Lower East Side
-73.97315979,40.79029083,New York,Upper West Side
-74.00115967,40.74146271,New York,Chelsea
-73.98470306,40.67800903,Brooklyn,Gowanus
-73.90351868,40.74581146,Woodside,Woodside
-73.98568726,40.77840042,New York,Lincoln Square
-73.97250366,40.75611115,New York,Midtown Center
-74.00498199,40.74118042,New York,Chelsea
-73.97310638,40.75527954,New York,Midtown Center
-74.00534821,40.75152969,New York,Chelsea
-74.00237274,40.72639465,New York,Soho
-73.97519684,40.7650795,New York,Midtown Center
-73.9845047,40.75482559,New York,Theater District-Times Square
-73.97846985,40.72032547,New York,East Village
-73.99175262,40.74943161,New York,Chelsea
-73.95874786,40.77500153,New York,Upper East Side
-74.00328064,40.73274612,New York,West Village
-73.99838257,40.73637009,New York,West Village
-73.94130707,40.72320175,Brooklyn,Greenpoint
-73.99223328,40.72903442,New York,Noho
-73.99456024,40.74362183,New York,Chelsea
-73.97858429,40.75319672,New York,Midtown Center
-73.97984314,40.73080444,New York,Stuyvesant Town
-73.98342896,40.72122192,New York,Lower East Side
-74.00366974,40.7324295,New York,West Village
-73.99336243,40.72437668,New York,Nolita
-73.97162628,40.76623917,New York,Upper East Side
-73.99817657,40.72029877,New York,Chinatown
-73.99988556,40.72938156,New York,Greenwich Village
-73.96549988,40.76583099,New York,Upper East Side
-74.00463104,40.74232864,New York,Chelsea
-74.00842285,40.74338913,New York,Chelsea
-74.00631714,40.72291565,New York,Soho
-73.99407196,40.76147079,New York,Clinton
-73.92752075,40.74442673,Long Island City,Sunnyside
-73.98193359,40.75415039,New York,Midtown Center
-73.96570587,40.77205658,New York,Upper East Side
-74.00600433,40.73306274,New York,West Village
-73.97851563,40.75743866,New York,Midtown Center
-73.97971344,40.77775574,New York,Lincoln Square
-73.97122192,40.76109314,New York,Midtown Center
-73.96328735,40.76602173,New York,Upper East Side
0,0,,
0,0,,
-73.95004272,40.79278946,New York,East Harlem
-73.9851532,40.74206161,New York,Midtown South Central
-73.97215271,40.74552155,New York,Murray Hill
-73.99445343,40.69822311,Brooklyn,
-73.96602631,40.75374603,New York,Turtle Bay
-73.99344635,40.73910904,New York,Flatiron District
-73.98487091,40.73646164,New York,Gramercy Park
-73.99179077,40.75566101,New York,Garment District
-73.98914337,40.73798752,New York,Flatiron District
-74.00385284,40.71689606,New York,Chinatown
-73.98240662,40.77540207,New York,Lincoln Square
-73.96305084,40.80920792,New York,Morningside Heights
-73.96699524,40.7725563,New York,Central Park
-73.99099731,40.74507523,New York,Midtown South Central
-73.88092041,40.73953247,Elmhurst,Elmhurst
-73.98162079,40.7566185,New York,Midtown Center
-73.90351868,40.63246918,Brooklyn,Canarsie
-73.97530365,40.75534821,New York,Midtown Center
-73.98510742,40.72045898,New York,Lower East Side
-73.93885803,40.80505371,New York,East Harlem
-73.97866821,40.76287842,New York,Clinton
-73.95487213,40.76935959,New York,Upper East Side
-73.9828186,40.75551224,New York,Midtown Center
-73.98911285,40.75289536,New York,Garment District
-73.94908142,40.7766037,New York,Yorkville
-73.94770813,40.77724838,New York,Yorkville
-73.98381805,40.72623062,New York,East Village
-73.94677734,40.80567169,New York,Harlem
-74.00382996,40.74310303,New York,Chelsea
-73.97540283,40.75215149,New York,Midtown Center
-74.00772858,40.71146774,New York,Financial District
-73.98561096,40.73575974,New York,Gramercy Park
-73.97805786,40.78870773,New York,Upper West Side
-74.00350189,40.73222351,New York,West Village
-73.99771881,40.72169495,New York,Soho
-73.97244263,40.75780106,New York,Midtown Center
-73.99317932,40.73685837,New York,Flatiron District
-74.00737762,40.7225914,New York,Tribeca
-74.00653839,40.7066803,New York,Financial District
-73.99497223,40.75004959,New York,Chelsea
-73.98509979,40.7323494,New York,East Village
-74.00447845,40.74208832,New York,Chelsea
-73.98976135,40.7353096,New York,Gramercy Park
-73.9132843,40.70071411,Brooklyn,Bushwick
-73.97202301,40.75778961,New York,Midtown Center
-73.96298218,40.71182632,Brooklyn,Williamsburg
-73.99710846,40.71788406,New York,Little Italy
-73.9948349,40.7502327,New York,Chelsea
