pickup_longitude,pickup_latitude,PUCensus_Tract
-73.98278046,40.75078964,8200
-73.96704865,40.75640106,9800
-73.98712921,40.72232819,3001
-73.97000122,40.76830673,12200
-73.97953796,40.7553215,9400
-73.96057129,40.71517563,55300
-73.78959656,40.64319992,71600
-73.99021149,40.73174667,4200
-74.00294495,40.7601738,11700
-73.78945923,40.64706802,71600
-73.94721985,40.77925873,15200
-73.87514496,40.773983,33100
-73.98950195,40.75883484,12100
-73.98577881,40.71931076,3001
-73.99752045,40.74171066,8700
-73.97454071,40.75626373,9200
-73.98101044,40.75314713,8200
-73.98749542,40.71987152,3001
-73.99687195,40.73752975,8100
-74.00492859,40.72970581,6700
-73.983078,40.77170944,14900
-73.98348236,40.76536942,13700
-73.98872375,40.75624466,11300
-73.99406433,40.740242,5400
-73.98955536,40.74802017,10100
-73.97348785,40.75953293,10200
-73.97969055,40.78440857,16700
-74.0102005,40.71157837,1300
-73.99172211,40.72723007,5700
-73.99324799,40.75761414,11500
-73.9825058,40.73112869,3400
-73.97544098,40.76048279,10200
-73.97570801,40.75451279,9200
-73.98810577,40.76404953,13300
-73.98584747,40.734478,4800
-73.97071838,40.79357529,18300
-73.97135162,40.75642776,10000
-73.98151398,40.74697876,7400
-73.97050476,40.7558136,9800
-73.97441864,40.75388336,9200
-74.00731659,40.70809937,1502
-73.97971344,40.76039505,10400
-74.00244904,40.75522614,9900
-73.98916626,40.74199677,5600
0,0,
-73.92893219,40.80884171,1900
-73.98475647,40.74484253,7400
-73.99364471,40.72117615,1800
-73.97234344,40.78637314,16900
-73.96652222,40.80452728,19900
-73.95438385,40.76410675,11600
-73.98464203,40.74454117,7400
-73.783638,40.64861298,71600
-73.98293304,40.73090744,4000
-73.7818985,40.64479828,71600
-73.99347687,40.72962189,5700
-73.96974945,40.76041794,11203
-73.98306274,40.69361877,1500
-73.97374725,40.7587738,10200
-73.97329712,40.76437378,11201
-73.98937988,40.71902847,1800
-74.01473236,40.70942688,1300
-73.9677887,40.76236343,11402
-74.00865936,40.71254349,2100
-74.00616455,40.74142456,8300
-73.99497986,40.71975327,4100
-73.9896698,40.73988724,5200
-73.98101044,40.77418518,15300
0,0,
-73.96356964,40.79446793,18500
-73.98920441,40.73429871,5000
-73.94428253,40.6781311,31300
-73.98981476,40.74699783,7600
-73.97676086,40.74757385,7800
-73.97815704,40.75096893,8000
-73.95998383,40.76211166,10602
-73.98374176,40.76080322,12500
-73.78552246,40.65033722,71600
-73.98058319,40.78293228,16300
-73.9821167,40.77839279,15900
-73.98543549,40.74408722,7400
-73.95283508,40.78286362,15801
-73.9733429,40.7520752,9000
-73.95307922,40.77679062,14601
-73.9923172,40.74974823,10100
-73.97661591,40.76621628,14300
-74.0018692,40.72630692,4900
-73.95597839,40.81373978,20901
-73.98754883,40.76875687,13900
-74.00714111,40.70550919,700
-73.96761322,40.75629425,9800
-73.99066925,40.74020004,5400
-73.9785614,40.75468063,9400
-73.98605347,40.74084091,5600
-73.99188995,40.7580719,11500
-73.97825623,40.76073074,10400
-73.98319244,40.7226944,3002
-73.96559906,40.76192093,11000
-73.95358276,40.77547073,13800
-73.97193146,40.74622726,7800
-73.98985291,40.75083923,10900
-73.96659088,40.76706696,12000
-73.98122406,40.72989655,3400
-73.99485779,40.68907547,4500
-73.98419189,40.72174835,3002
-73.98175049,40.7390976,6400
-73.86386108,40.76968002,33100
-73.98769379,40.75521851,11300
-73.97121429,40.78617096,17300
-74.01116943,40.70298386,900
-74.00078583,40.7575798,9900
-73.81916809,40.71622467,22001
-73.97903442,40.76233292,13100
-73.96850586,40.76268387,11402
-73.99153137,40.75019836,10100
-73.97972107,40.73963165,6600
-73.95404053,40.78478241,16001
-73.97421265,40.7630806,11201
-74.00602722,40.73572159,7500
-73.95028687,40.77138519,13600
-73.96759796,40.75624084,9800
-73.98442841,40.75439072,8400
-73.99017334,40.73519516,5200
-73.78236389,40.6445961,71600
-74.00240326,40.73014832,6700
-73.9872818,40.72103882,3001
-73.99107361,40.75055695,10100
-73.7818985,40.64444351,71600
-73.9833374,40.76066971,12500
-73.98847961,40.75679016,11900
-73.99490356,40.74002457,8700
-73.95534515,40.77681732,13800
-73.94639587,40.77264786,13600
-73.9247818,40.74406815,18101
-73.9812088,40.744133,7200
-73.95309448,40.78307343,15801
-73.97671509,40.75250626,9200
-73.97685242,40.78739548,17100
-73.98866272,40.7370491,5200
-73.99216461,40.71393204,600
-73.98057556,40.74552155,7200
-73.97806549,40.72946167,4400
-73.96971893,40.76535416,11401
-73.97801971,40.7630806,10400
-73.97881317,40.75321198,9400
-73.98822021,40.7603569,12700
0,0,
-73.97984314,40.77801132,15700
-73.98344421,40.73402786,4800
-73.95821381,40.7789917,15001
-73.99172211,40.71006012,600
-73.97544861,40.7627182,11201
-73.97235107,40.79413986,18300
-73.98935699,40.76320267,12700
-73.97744751,40.73266983,4400
-74.00215912,40.74714279,9300
-74.00945282,40.71287537,2100
-73.99961853,40.73347855,6300
-73.97962189,40.76096725,10400
-73.98699188,40.76676941,13900
-73.98795319,40.74906921,7600
-73.96915436,40.78556824,17300
-73.97922516,40.74208069,6600
0,0,
-73.99200439,40.75945282,12100
-73.9502182,40.77566147,14401
-73.96852875,40.75482941,9800
-73.86528015,40.77035522,33100
-73.98996735,40.75673676,11300
-73.99967957,40.76152039,12900
-73.97045135,40.76403427,11401
-73.99834442,40.75075531,9700
-73.95689392,40.77432632,13800
-73.87104797,40.77386093,33100
-73.99216461,40.72916031,5700
-73.99505615,40.76015854,12100
-74.00448608,40.74209213,8300
-73.95643616,40.7755394,14000
-73.97952271,40.74966431,8200
-73.9503479,40.77128983,13200
-73.97856903,40.7567482,9600
-73.99582672,40.72093201,4100
-73.94641876,40.77289963,13600
-73.96406555,40.75938797,10800
-73.98735809,40.76054764,12500
-73.96895599,40.75723267,9800
-73.99356842,40.76237488,12900
-73.9122467,40.76723099,14300
-73.95805359,40.77621078,14000
-73.97187805,40.74586868,8601
-74.0018692,40.73542023,7300
-73.9748764,40.75282669,9200
-73.90625763,40.7730751,12100
-73.95200348,40.77746964,14601
-73.99407196,40.7511673,10100
-73.9907608,40.75590897,11500
-73.95766449,40.80373383,20102
-73.77683258,40.64501953,71600
-74.00765991,40.73210526,6900
-73.99758148,40.74940491,9700
-74.00004578,40.72168732,4700
-73.96939087,40.75534439,9800
-73.95751953,40.7703476,13400
-74.00721741,40.72789764,3700
-73.99060059,40.7424202,5800
-74.00087738,40.74171829,8100
-73.96968079,40.75705719,9800
-74.00504303,40.73726273,7700
-73.9799118,40.76128769,13100
-73.9899292,40.74629211,7600
-73.95285797,40.78322601,15801
-73.97798157,40.74195862,7000
-74.00105286,40.74163055,8100
-73.94829559,40.78307343,15601
-73.97783661,40.73412323,6000
-74.01024628,40.72072601,3900
-74.00424194,40.74243546,8300
-73.96809387,40.8000679,19100
-73.97153473,40.75618744,10000
-73.972435,40.79377747,18300
-73.99492645,40.7399292,5400
-73.98771667,40.7793808,15500
-74.00016785,40.73290634,7100
-73.97429657,40.76007843,10200
-73.95504761,40.76900864,12400
-74.00267029,40.72878647,6700
-73.91764832,40.73923111,23500
-74.00865173,40.73106384,6900
-73.9429245,40.79005814,17000
-73.98588562,40.74395752,5600
-74.00527191,40.73974991,7700
-73.95966339,40.79865265,19300
-73.99124908,40.73278046,6100
-73.97304535,40.75924683,10200
-73.98193359,40.76726532,13700
-74.04283905,40.71992874,7000
-73.99395752,40.72267532,4300
-73.98651886,40.76398087,13300
-73.95762634,40.77674866,14000
-74.00818634,40.71467972,2100
-73.93471527,40.80116653,19400
-73.98166656,40.77842712,15700
-74.00257111,40.74928284,9300
-74.00498962,40.74151611,8300
-73.95727539,40.76630402,12600
-74.00409698,40.73819351,7700
-73.99103546,40.71802139,1800
-73.9834671,40.76772308,13900
-73.98445892,40.76688766,13900
-73.96827698,40.75084305,8602
-73.97853851,40.78308105,16700
-73.95965576,40.77086258,12600
-73.98439026,40.73995209,6800
-73.99744415,40.72077942,4100
-73.98906708,40.75789261,11900
-73.97337341,40.75531387,9200
-73.99236298,40.74887466,10100
-74.00224304,40.74126816,8300
-73.97093201,40.75518799,9800
-73.96685028,40.80421066,19500
-73.9752121,40.79253387,17900
-73.98413849,40.76480865,13700
-73.98199463,40.69143677,1500
-73.9925766,40.75870895,12100
-73.99160004,40.74223709,5800
-73.9600296,40.77630997,14200
-73.98654938,40.76398087,13300
-74.0067749,40.73158646,6900
-73.98077393,40.73391342,4800
-73.98262787,40.76298904,13100
-73.97693634,40.75590897,9400
