pickup_longitude,pickup_latitude,PUcity,PUdistrict
-73.95785522,40.77632904,New York,Upper East Side
-73.99172974,40.74474716,New York,Chelsea
-73.99663544,40.74293518,New York,Chelsea
-73.9912262,40.75009537,New York,Chelsea
-73.99103546,40.71770859,New York,Lower East Side
-73.99853516,40.7413063,New York,Chelsea
-73.92863464,40.85657501,New York,Washington Heights North
-74.00032806,40.73239517,New York,Greenwich Village
-74.00391388,40.72576904,New York,Soho
-73.97597504,40.75527191,New York,Midtown Center
-73.98252869,40.77505875,New York,Lincoln Square
-73.96338654,40.80872726,New York,Morningside Heights
-73.99688721,40.76271057,New York,Clinton
-74.01430511,40.71769333,New York,Battery Park City
-74.00635529,40.74977875,New York,Chelsea
-73.96847534,40.76076508,New York,Midtown Center
-73.97646332,40.78075027,New York,Upper West Side
-74.00669861,40.71946335,New York,Tribeca
-73.98258209,40.74230957,New York,Kips Bay
-74.01365662,40.71371078,New York,Tribeca
-73.91484833,40.68484116,Brooklyn,Bedford-Stuyvesant
-73.97514343,40.76521683,New York,Midtown Center
-73.98085022,40.7690773,New York,Central Park
-74.00756073,40.72529984,New York,Soho
-73.98548126,40.7411232,New York,Kips Bay
-73.9535675,40.76675797,New York,Upper East Side
-74.01176453,40.70366669,New York,Financial District
-73.99063873,40.75099945,New York,Chelsea
-73.98259735,40.75999832,New York,Theater District-Times Square
-73.95652008,40.71705627,Brooklyn,Greenpoint
-74.00370789,40.74325562,New York,Chelsea
-73.78946686,40.64357376,Jamaica,
-73.97353363,40.75030518,New York,Murray Hill
-73.97451782,40.75191879,New York,Midtown Center
-73.97167969,40.78220749,New York,Upper West Side
-73.95996094,40.77355576,New York,Upper East Side
-73.96521759,40.7662735,New York,Upper East Side
-73.9877243,40.73809052,New York,Gramercy Park
-74.00669861,40.73014832,New York,West Village
-73.98303223,40.75112915,New York,Midtown South Central
-73.97441101,40.73680878,New York,Kips Bay
-73.94359589,40.79312515,New York,East Harlem
-73.99484253,40.73167038,New York,Greenwich Village
