,LocationID,Borough,Zone
0,238,Manhattan,Upper West Side North
1,238,Manhattan,Upper West Side North
2,238,Manhattan,Upper West Side North
3,238,Manhattan,Upper West Side North
4,236,Manhattan,Upper East Side North
5,236,Manhattan,Upper East Side North
6,68,Manhattan,East Chelsea
7,68,Manhattan,East Chelsea
8,170,Manhattan,Murray Hill
9,170,Manhattan,Murray Hill
10,107,Manhattan,Gramercy
11,107,Manhattan,Gramercy
12,113,Manhattan,Greenwich Village North
13,113,Manhattan,Greenwich Village North
14,231,Manhattan,TriBeCa/Civic Center
15,231,Manhattan,TriBeCa/Civic Center
16,264,Unknown,NV
17,162,Manhattan,Midtown East
18,162,Manhattan,Midtown East
19,239,Manhattan,Upper West Side South
20,170,Manhattan,Murray Hill
21,170,Manhattan,Murray Hill
22,132,Queens,JFK Airport
23,236,Manhattan,Upper East Side North
24,141,Manhattan,Lenox Hill West
25,162,Manhattan,Midtown East
26,148,Manhattan,Lower East Side
27,161,Manhattan,Midtown Center
28,163,Manhattan,Midtown North
29,193,Queens,Queensbridge/Ravenswood
30,50,Manhattan,Clinton West
31,90,Manhattan,Flatiron
32,143,Manhattan,Lincoln Square West
33,238,Manhattan,Upper West Side North
34,125,Manhattan,Hudson Sq
35,125,Manhattan,Hudson Sq
36,231,Manhattan,TriBeCa/Civic Center
37,231,Manhattan,TriBeCa/Civic Center
38,79,Manhattan,East Village
39,79,Manhattan,East Village
40,234,Manhattan,Union Sq
41,234,Manhattan,Union Sq
42,90,Manhattan,Flatiron
43,90,Manhattan,Flatiron
44,238,Manhattan,Upper West Side North
45,238,Manhattan,Upper West Side North
46,264,Unknown,NV
47,264,Unknown,NV
48,264,Unknown,NV
49,264,Unknown,NV
50,264,Unknown,NV
51,264,Unknown,NV
52,162,Manhattan,Midtown East
53,162,Manhattan,Midtown East
54,43,Manhattan,Central Park
55,43,Manhattan,Central Park
56,237,Manhattan,Upper East Side South
57,237,Manhattan,Upper East Side South
58,162,Manhattan,Midtown East
59,162,Manhattan,Midtown East
60,211,Manhattan,SoHo
61,211,Manhattan,SoHo
62,79,Manhattan,East Village
63,114,Manhattan,Greenwich Village South
64,125,Manhattan,Hudson Sq
65,249,Manhattan,West Village
66,114,Manhattan,Greenwich Village South
67,234,Manhattan,Union Sq
68,236,Manhattan,Upper East Side North
69,148,Manhattan,Lower East Side
70,237,Manhattan,Upper East Side South
71,262,Manhattan,Yorkville East
72,237,Manhattan,Upper East Side South
73,262,Manhattan,Yorkville East
74,238,Manhattan,Upper West Side North
75,236,Manhattan,Upper East Side North
76,140,Manhattan,Lenox Hill East
77,161,Manhattan,Midtown Center
78,236,Manhattan,Upper East Side North
79,164,Manhattan,Midtown South
80,132,Queens,JFK Airport
81,114,Manhattan,Greenwich Village South
82,87,Manhattan,Financial District North
83,229,Manhattan,Sutton Place/Turtle Bay North
84,237,Manhattan,Upper East Side South
85,13,Manhattan,Battery Park City
86,249,Manhattan,West Village
87,137,Manhattan,Kips Bay
88,233,Manhattan,UN/Turtle Bay South
89,170,Manhattan,Murray Hill
90,230,Manhattan,Times Sq/Theatre District
91,246,Manhattan,West Chelsea/Hudson Yards
92,142,Manhattan,Lincoln Square East
93,70,Queens,East Elmhurst
94,13,Manhattan,Battery Park City
95,138,Queens,LaGuardia Airport
96,236,Manhattan,Upper East Side North
97,236,Manhattan,Upper East Side North
98,170,Manhattan,Murray Hill
99,113,Manhattan,Greenwich Village North
100,113,Manhattan,Greenwich Village North
101,231,Manhattan,TriBeCa/Civic Center
102,43,Manhattan,Central Park
103,100,Manhattan,Garment District
