BoroName,BoroCode,CTLabel,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area
Staten Island,5,9,900,5000900,E,SI22,West New Brighton-New Brighton-St. George,3903,7729.016794,2497009.714
Manhattan,1,98,9800,1009800,I,MN19,Turtle Bay-East Midtown,3808,5534.199811,1906016.35
Manhattan,1,100,10000,1010000,I,MN19,Turtle Bay-East Midtown,3808,5692.168737,1860938.377
Manhattan,1,102,10200,1010200,I,MN17,Midtown-Midtown South,3807,5687.802439,1860992.705
Manhattan,1,104,10400,1010400,I,MN17,Midtown-Midtown South,3807,5693.036367,1864600.375
Manhattan,1,113,11300,1011300,I,MN17,Midtown-Midtown South,3807,5699.860641,1890907.291
Manhattan,1,114.02,11402,1011402,I,MN40,Upper East Side-Carnegie Hill,3805,4125.256029,1063547.414
Manhattan,1,130,13000,1013000,I,MN40,Upper East Side-Carnegie Hill,3805,5807.972956,1918144.54
Manhattan,1,140,14000,1014000,I,MN40,Upper East Side-Carnegie Hill,3805,5820.81564,1925984.223
Manhattan,1,148.01,14801,1014801,I,MN40,Upper East Side-Carnegie Hill,3805,3135.951423,559216.1578
Manhattan,1,184,18400,1018400,E,MN34,East Harlem North,3804,5771.874098,1903568.353
Manhattan,1,190,19000,1019000,I,MN11,Central Harlem South,3803,4231.827087,1117371.679
Manhattan,1,206,20600,1020600,E,MN03,Central Harlem North-Polo Grounds,3803,5176.87315,1602693.822
Manhattan,1,249,24900,1024900,I,MN36,Washington Heights South,3801,3927.82147,652856.343
Manhattan,1,261,26100,1026100,E,MN36,Washington Heights South,3801,5532.099858,1681539.06
Manhattan,1,263,26300,1026300,E,MN36,Washington Heights South,3801,5730.54184,1691891.994
Manhattan,1,269,26900,1026900,E,MN35,Washington Heights North,3801,6017.036777,1889655.548
Manhattan,1,277,27700,1027700,E,MN35,Washington Heights North,3801,5903.152544,1760155.959
Brooklyn,3,5.01,501,3000501,I,BK09,Brooklyn Heights-Cobble Hill,4004,4828.170042,901506.9925
